AID	CLUSTER2	GSWGT1
91570187	1.43	878.01
91570210	1.45	3846.46
91570232	1.47	3650.16
91570291	1.48	3607.86
91570395	1.48	4641.22
91570412	1.45	2951.67
91570425	1.41	2056.12
91570428	1.41	1635.11
91570497	1.48	4985.15
91570523	1.41	2428.02
91570524	1.41	1559.65
91570525	1.41	3618.91
91570528	1.41	2821.17
91570553	1.42	3450.62
91570593	1.48	2907.43
91570596	1.48	4641.22
91570597	1.48	3113.21
91570614	1.45	3354.01
91570621	1.41	2428.02
91570684	1.43	5945.88
91570692	1.48	3710.46
91570729	1.41	1743.07
91570776	1.5	5380.25
91570789	1.43	878.01
91570817	1.45	456.91
91570823	1.41	2752.52
91570829	1.41	3106.6
91570921	1.41	3618.91
91570928	1.41	1617.63
91570986	1.43	4007.83
91570993	1.48	3566.72
91570997	1.48	3607.86
91571005	1.36	1668.33
91571007	1.36	1729.45
91571012	1.35	2430.7
91571013	1.35	2586.52
91571014	1.35	4183.26
91571070	1.4	2270.37
91571074	1.4	2112.63
91571116	1.35	3222.58
91571155	1.32	6493.49
91571214	1.35	2180.37
91571218	1.35	2728.3
91571310	1.35	3287.95
91571379	1.4	620.43
91571467	1.34	6660.68
91571505	1.36	2063.16
91571560	1.34	4058.89
91571561	1.34	3933.9
91571601	1.36	1668.33
91571605	1.36	2063.16
91571610	1.35	2430.7
91571677	1.4	990.1
91571703	1.36	2063.16
91571705	1.36	1577.88
91571706	1.36	1323.09
91571707	1.36	2190.55
91571756	1.32	7001.44
91571807	1.36	1323.09
91571812	1.35	2914.61
91571817	1.35	2728.3
91571857	1.32	6493.49
91571870	1.4	5783.59
91571876	1.4	891.1
91571919	1.35	2430.7
91571970	1.4	2999.3
91572001	1.16	7013.47
91572007	1.16	3684.97
91572040	1.19	3345.36
91572063	1.14	3226.86
91572076	1.2	3351.76
91572117	1.15	3691.07
91572122	1.11	1393.35
91572128	1.11	3779.1
91572129	1.11	1862.12
91572145	1.19	4357.93
91572183	1.13	1354.98
91572185	1.13	885.73
91572190	1.18	2506.01
91572193	1.18	1344.97
91572195	1.18	1586.16
91572204	1.16	7013.47
91572214	1.15	3031.73
91572221	1.11	1330.2
91572222	1.11	2011.57
91572229	1.11	2498.22
91572282	1.13	724.63
91572283	1.13	1103.96
91572288	1.13	816.72
91572289	1.13	731.72
91572292	1.18	1586.16
91572297	1.18	2819.45
91572321	1.11	1078.16
91572328	1.11	1971.45
91572346	1.19	4258.76
91572369	1.14	3462.31
91572373	1.2	3987.08
91572381	1.13	486.09
91572385	1.13	1464.43
91572387	1.13	1006.77
91572389	1.13	906.75
91572396	1.18	2506.01
91572408	1.16	4242.6
91572442	1.19	4357.93
91572462	1.14	6239.89
91572471	1.2	3842
91572841	1.19	4171.05
91572868	1.14	6239.89
91572900	1.16	4766.65
91572918	1.15	3031.73
91572921	1.11	1339.73
91572964	1.14	3833.26
91572980	1.13	1103.96
91572981	1.13	1103.96
91572986	1.13	885.73
91572989	1.13	1135.12
91572999	1.18	1586.16
91573010	1.85	1799.06
91573016	1.85	2063.13
91573017	1.85	2110.47
91573031	1.87	477.94
91573099	1.88	7085.33
91573234	1.87	3119.66
91573248	1.89	2157.97
91573253	1.82	2401.38
91573254	1.82	2617.42
91573258	1.82	2617.42
91573259	1.82	2921.45
91573291	1.88	3532.37
91573310	1.85	3210.21
91573320	1.81	1691.95
91573323	1.81	2550.01
91573329	1.81	3829.01
91573334	1.87	3119.66
91573395	1.88	1281.42
91573410	1.85	3022.55
91573414	1.85	2110.47
91573417	1.85	2294.64
91573419	1.85	1662.9
91573491	1.88	4493.6
91573516	1.85	1891.04
91573615	1.85	1435.93
91573637	1.87	4406.55
91573708	1.86	385.11
91573811	1.85	3048.35
91573902	1.86	2921.35
91573926	1.81	3178.29
91573940	1.89	2215.8
91573944	1.89	2947.54
91573948	1.89	2633.74
91573951	1.82	3175.12
91573955	1.82	2401.38
91573956	1.82	2665.43
91573958	1.82	2665.43
91574049	1.69	3912.66
91574118	1.65	5042.13
91574121	1.61	4784.32
91574143	1.69	4611.62
91574203	1.66	5465.45
91574231	1.67	3251.56
91574308	1.66	708.99
91574337	1.67	6146.07
91574399	1.68	3931.79
91574403	1.66	711.08
91574430	1.67	6146.07
91574492	1.68	4308.67
91574504	1.66	740.08
91574594	1.68	4308.67
91574604	1.66	708.99
91574632	1.67	3841.38
91574688	1.63	5510.7
91574694	1.68	5458.18
91574696	1.68	4138.7
91574790	1.68	1164.31
91574796	1.68	886.64
91574811	1.65	3672.75
91574816	1.65	3237.39
91574915	1.65	859.71
91574916	1.65	2481.43
91574923	1.61	5809.06
91574993	1.68	886.22
91575012	1.25	3892.14
91575060	1.24	3115.32
91575065	1.24	3350.22
91575076	1.3	2730.83
91575077	1.3	2257.28
91575083	1.23	4856.95
91575085	1.23	3090.9
91575094	1.28	3119.82
91575099	1.28	2664.6
91575102	1.26	2954.16
91575127	1.21	1683.71
91575151	1.22	2932.43
91575162	1.24	3749.27
91575180	1.23	4501.83
91575191	1.28	2491.25
91575194	1.28	2491.25
91575205	1.26	2172.84
91575216	1.25	3583.93
91575217	1.25	3547.85
91575227	1.21	2938.58
91575235	1.27	2303.83
91575239	1.27	2303.83
91575240	1.29	903.05
91575246	1.29	1093.11
91575249	1.29	1601.38
91575261	1.24	3749.27
91575280	1.23	4636.81
91575282	1.23	3515.29
91575296	1.28	3055.77
